Treatment,Level,Replicate,Time,Frame,Side,Bees,Surface cm2,Beespercm2,Brood,Surface cm2,Broodpercm2,,#of Bees,,
Fmed,Med,1,1,1,A,0.2,113,157.07,0,0,0,,157.07,,
Fmed,Med,1,1,1,B,0.15,84.75,117.8025,0,0,0,,117.8025,,
Fmed,Med,1,1,2,A,0.15,84.75,117.8025,0,0,0,,117.8025,,
Fmed,Med,1,1,2,B,0.2,113,157.07,0.1,56.5,209.05,,157.07,,
Fmed,Med,1,1,3,A,0.2,113,157.07,0,0,0,,157.07,,
Fmed,Med,1,1,3,B,0.3,169.5,235.605,0,0,0,,235.605,,
Fmed,Med,1,1,4,A,0.2,113,157.07,0,0,0,,157.07,,
Fmed,Med,1,1,4,B,0.3,169.5,235.605,0,0,0,,235.605,,
Fmed,Med,1,1,5,A,0.2,113,157.07,0,0,0,,157.07,,
Fmed,Med,1,1,5,B,0.2,113,157.07,0,0,0,,157.07,,
Fmed,Med,1,1,6,A,0.2,113,157.07,0,0,0,,157.07,,
Fmed,Med,1,1,6,B,0.3,169.5,235.605,0,0,0,,235.605,,
Fmed,Med,1,1,7,A,0.3,169.5,235.605,0.3,169.5,627.15,,235.605,,
Fmed,Med,1,1,7,B,0.2,113,157.07,0.2,113,418.1,,157.07,,
Fmed,Med,1,1,8,A,0.3,169.5,235.605,0,0,0,,235.605,,
Fmed,Med,1,1,8,B,0.3,169.5,235.605,0,0,0,,235.605,,
Fmed,Med,1,1,9,A,0.3,169.5,235.605,0,0,0,,235.605,,
Fmed,Med,1,1,9,B,0.3,169.5,235.605,0,0,0,,235.605,,
Fmed,Med,1,1,10,A,0.15,84.75,117.8025,0,0,0,,117.8025,,
Fmed,Med,1,1,10,B,0.1,56.5,78.535,0,0,0,,78.535,,
Fmed,Med,1,1,1,A,0.1,56.5,78.535,0,0,0,,78.535,,
Fmed,Med,1,1,1,B,0.15,84.75,117.8025,0,0,0,,117.8025,,
Fmed,Med,1,1,2,A,0.2,113,157.07,0,0,0,,157.07,,
Fmed,Med,1,1,2,B,0.1,56.5,78.535,0,0,0,,78.535,,
Fmed,Med,1,1,3,A,0.3,169.5,235.605,0,0,0,,235.605,,
Fmed,Med,1,1,3,B,0.2,113,157.07,0,0,0,,157.07,,
Fmed,Med,1,1,4,A,0.3,169.5,235.605,0,0,0,,235.605,,
Fmed,Med,1,1,4,B,0.2,113,157.07,0,0,0,,157.07,,
Fmed,Med,1,1,5,A,0.1,56.5,78.535,0,0,0,,78.535,,
Fmed,Med,1,1,5,B,0.3,169.5,235.605,0.2,113,418.1,,235.605,,
Fmed,Med,1,1,6,A,0.2,113,157.07,0.2,113,418.1,,157.07,,
Fmed,Med,1,1,6,B,0.3,169.5,235.605,0.3,169.5,627.15,,235.605,,
Fmed,Med,1,1,7,A,0.3,169.5,235.605,0.3,169.5,627.15,,235.605,,
Fmed,Med,1,1,7,B,0.2,113,157.07,0.4,226,836.2,,157.07,,
Fmed,Med,1,1,8,A,0.2,113,157.07,0.3,169.5,627.15,,157.07,,
Fmed,Med,1,1,8,B,0.3,169.5,235.605,0.4,226,836.2,,235.605,,
Fmed,Med,1,1,9,A,0.3,169.5,235.605,0,0,0,,235.605,,
Fmed,Med,1,1,9,B,0.2,113,157.07,0,0,0,,157.07,,
Fmed,Med,1,1,10,A,0.3,169.5,235.605,0,0,0,,235.605,,
Fmed,Med,1,1,10,B,0.3,169.5,235.605,0,0,0,,235.605,total:,10877.0975
Fmed,Med,2,1,1,A,0.05,28.25,39.2675,0,0,0,,39.2675,,
Fmed,Med,2,1,1,B,0,0,0,0,0,0,,0,,
Fmed,Med,2,1,2,A,0.05,28.25,39.2675,0,0,0,,39.2675,,
Fmed,Med,2,1,2,B,0,0,0,0,0,0,,0,,
Fmed,Med,2,1,3,A,0.1,56.5,78.535,0,0,0,,78.535,,
Fmed,Med,2,1,3,B,0,0,0,0,0,0,,0,,
Fmed,Med,2,1,4,A,0.15,84.75,117.8025,0,0,0,,117.8025,,
Fmed,Med,2,1,4,B,0.05,28.25,39.2675,0,0,0,,39.2675,,
Fmed,Med,2,1,5,A,0.2,113,157.07,0,0,0,,157.07,,
Fmed,Med,2,1,5,B,0.05,28.25,39.2675,0,0,0,,39.2675,,
Fmed,Med,2,1,6,A,0.15,84.75,117.8025,0,0,0,,117.8025,,
Fmed,Med,2,1,6,B,0.2,113,157.07,0.35,197.75,731.675,,157.07,,
Fmed,Med,2,1,7,A,0.2,113,157.07,0.35,197.75,731.675,,157.07,,
Fmed,Med,2,1,7,B,0.3,169.5,235.605,0.4,226,836.2,,235.605,,
Fmed,Med,2,1,8,A,0.3,169.5,235.605,0.4,226,836.2,,235.605,,
Fmed,Med,2,1,8,B,0.2,113,157.07,0.3,169.5,627.15,,157.07,,
Fmed,Med,2,1,9,A,0.15,84.75,117.8025,0,0,0,,117.8025,,
Fmed,Med,2,1,9,B,0.1,56.5,78.535,0,0,0,,78.535,,
Fmed,Med,2,1,10,A,0.1,56.5,78.535,0,0,0,,78.535,,
Fmed,Med,2,1,10,B,0.05,28.25,39.2675,0,0,0,,39.2675,,
Fmed,Med,2,1,1,A,0.05,28.25,39.2675,0,0,0,,39.2675,,
Fmed,Med,2,1,1,B,0.05,28.25,39.2675,0,0,0,,39.2675,,
Fmed,Med,2,1,2,A,0.05,28.25,39.2675,0,0,0,,39.2675,,
Fmed,Med,2,1,2,B,0.05,28.25,39.2675,0,0,0,,39.2675,,
Fmed,Med,2,1,3,A,0.05,28.25,39.2675,0,0,0,,39.2675,,
Fmed,Med,2,1,3,B,0.1,56.5,78.535,0,0,0,,78.535,,
Fmed,Med,2,1,4,A,0.15,84.75,117.8025,0,0,0,,117.8025,,
Fmed,Med,2,1,4,B,0.05,28.25,39.2675,0,0,0,,39.2675,,
Fmed,Med,2,1,5,A,0.2,113,157.07,0.3,169.5,627.15,,157.07,,
Fmed,Med,2,1,5,B,0.2,113,157.07,0.4,226,836.2,,157.07,,
Fmed,Med,2,1,6,A,0.2,113,157.07,0.4,226,836.2,,157.07,,
Fmed,Med,2,1,6,B,0.3,169.5,235.605,0.4,226,836.2,,235.605,,
Fmed,Med,2,1,7,A,0.2,113,157.07,0.4,226,836.2,,157.07,,
Fmed,Med,2,1,7,B,0.3,169.5,235.605,0.4,226,836.2,,235.605,,
Fmed,Med,2,1,8,A,0.2,113,157.07,0.2,113,418.1,,157.07,,
Fmed,Med,2,1,8,B,0.2,113,157.07,0.4,226,836.2,,157.07,,
Fmed,Med,2,1,9,A,0.2,113,157.07,0,0,0,,157.07,,
Fmed,Med,2,1,9,B,0.05,28.25,39.2675,0,0,0,,39.2675,,
Fmed,Med,2,1,10,A,0.05,28.25,39.2675,0,0,0,,39.2675,,
Fmed,Med,2,1,10,B,0.05,28.25,39.2675,0,0,0,,39.2675,total:,4005.285
Fmed,Med,2,1,1,A,0.1,56.5,78.535,0,0,0,,78.535,,
Fmed,Med,2,1,1,B,0.1,56.5,78.535,0,0,0,,78.535,,
Fmed,Med,2,1,2,A,0.15,84.75,117.8025,0,0,0,,117.8025,,
Fmed,Med,2,1,2,B,0.2,113,157.07,0,0,0,,157.07,,
Fmed,Med,2,1,3,A,0.15,84.75,117.8025,0,0,0,,117.8025,,
Fmed,Med,2,1,3,B,0.2,113,157.07,0,0,0,,157.07,,
Fmed,Med,2,1,4,A,0.15,84.75,117.8025,0,0,0,,117.8025,,
Fmed,Med,2,1,4,B,0.2,113,157.07,0,0,0,,157.07,,
Fmed,Med,2,1,5,A,0.2,113,157.07,0,0,0,,157.07,,
Fmed,Med,2,1,5,B,0.2,113,157.07,0,0,0,,157.07,,
Fmed,Med,2,1,6,A,0.3,169.5,235.605,0.2,113,418.1,,235.605,,
Fmed,Med,2,1,6,B,0.2,113,157.07,0.2,113,418.1,,157.07,,
Fmed,Med,2,1,7,A,0.2,113,157.07,0,0,0,,157.07,,
Fmed,Med,2,1,7,B,0.3,169.5,235.605,0.2,113,418.1,,235.605,,
Fmed,Med,2,1,8,A,0.3,169.5,235.605,0,0,0,,235.605,,
Fmed,Med,2,1,8,B,0.2,113,157.07,0,0,0,,157.07,,
Fmed,Med,2,1,9,A,0.2,113,157.07,0,0,0,,157.07,,
Fmed,Med,2,1,9,B,0.3,169.5,235.605,0,0,0,,235.605,,
Fmed,Med,2,1,10,A,0.15,84.75,117.8025,0,0,0,,117.8025,,
Fmed,Med,2,1,10,B,0.1,56.5,78.535,0,0,0,,78.535,,
Fmed,Med,3,1,1,A,0.1,56.5,78.535,0,0,0,,78.535,,
Fmed,Med,3,1,1,B,0.05,28.25,39.2675,0,0,0,,39.2675,,
Fmed,Med,3,1,2,A,0.2,113,157.07,0,0,0,,157.07,,
Fmed,Med,3,1,2,B,0.2,113,157.07,0,0,0,,157.07,,
Fmed,Med,3,1,3,A,0.2,113,157.07,0,0,0,,157.07,,
Fmed,Med,3,1,3,B,0.2,113,157.07,0,0,0,,157.07,,
Fmed,Med,3,1,4,A,0.2,113,157.07,0,0,0,,157.07,,
Fmed,Med,3,1,4,B,0.2,113,157.07,0.1,56.5,209.05,,157.07,,
Fmed,Med,3,1,5,A,0.3,169.5,235.605,0.3,169.5,627.15,,235.605,,
Fmed,Med,3,1,5,B,0.2,113,157.07,0.3,169.5,627.15,,157.07,,
Fmed,Med,3,1,6,A,0.2,113,157.07,0.2,113,418.1,,157.07,,
Fmed,Med,3,1,6,B,0.2,113,157.07,0.3,169.5,627.15,,157.07,,
Fmed,Med,3,1,7,A,0.2,113,157.07,0.2,113,418.1,,157.07,,
Fmed,Med,3,1,7,B,0.2,113,157.07,0.15,84.75,313.575,,157.07,,
Fmed,Med,3,1,8,A,0.2,113,157.07,0.3,169.5,627.15,,157.07,,
Fmed,Med,3,1,8,B,0.2,113,157.07,0.3,169.5,627.15,,157.07,,
Fmed,Med,3,1,9,A,0.2,113,157.07,0.4,226,836.2,,157.07,,
Fmed,Med,3,1,9,B,0.2,113,157.07,0.4,226,836.2,,157.07,,
Fmed,Med,3,1,10,A,0.2,113,157.07,0,0,0,,157.07,,
Fmed,Med,3,1,10,B,0.1,56.5,78.535,0,0,0,,78.535,,
Fmed,Med,3,1,1,A,0.2,113,157.07,0,0,0,,157.07,,
Fmed,Med,3,1,1,B,0.05,28.25,39.2675,0,0,0,,39.2675,,
Fmed,Med,3,1,2,A,0.2,113,157.07,0,0,0,,157.07,,
Fmed,Med,3,1,2,B,0.2,113,157.07,0,0,0,,157.07,,
Fmed,Med,3,1,3,A,0.2,113,157.07,0,0,0,,157.07,,
Fmed,Med,3,1,3,B,0.2,113,157.07,0,0,0,,157.07,,
Fmed,Med,3,1,4,A,0.1,56.5,78.535,0,0,0,,78.535,,
Fmed,Med,3,1,4,B,0.1,56.5,78.535,0,0,0,,78.535,,
Fmed,Med,3,1,5,A,0.1,56.5,78.535,0,0,0,,78.535,,
Fmed,Med,3,1,5,B,0.2,113,157.07,0.1,56.5,209.05,,157.07,,
Fmed,Med,3,1,6,A,0.1,56.5,78.535,0.2,113,418.1,,78.535,,
Fmed,Med,3,1,6,B,0.15,84.75,117.8025,0.2,113,418.1,,117.8025,,
Fmed,Med,3,1,7,A,0.1,56.5,78.535,0.3,169.5,627.15,,78.535,,
Fmed,Med,3,1,7,B,0.2,113,157.07,0.3,169.5,627.15,,157.07,,
Fmed,Med,3,1,8,A,0.2,113,157.07,0.3,169.5,627.15,,157.07,,
Fmed,Med,3,1,8,B,0.1,56.5,78.535,0.3,169.5,627.15,,78.535,,
Fmed,Med,3,1,9,A,0.2,113,157.07,0.3,169.5,627.15,,157.07,,
Fmed,Med,3,1,9,B,0.2,113,157.07,0.3,169.5,627.15,,157.07,,
Fmed,Med,3,1,10,A,0.15,84.75,117.8025,0,0,0,,117.8025,,
Fmed,Med,3,1,10,B,0.1,56.5,78.535,0,0,0,,78.535,total:,8403.245
Fhigh,High,1,1,1,A,0.2,113,157.07,0,0,0,,157.07,,
Fhigh,High,1,1,1,B,0.05,28.25,39.2675,0,0,0,,39.2675,,
Fhigh,High,1,1,2,A,0.2,113,157.07,0,0,0,,157.07,,
Fhigh,High,1,1,2,B,0.2,113,157.07,0,0,0,,157.07,,
Fhigh,High,1,1,3,A,0.05,28.25,39.2675,0,0,0,,39.2675,,
Fhigh,High,1,1,3,B,0.2,113,157.07,0,0,0,,157.07,,
Fhigh,High,1,1,4,A,0.3,169.5,235.605,0.2,113,418.1,,235.605,,
Fhigh,High,1,1,4,B,0.2,113,157.07,0.2,113,418.1,,157.07,,
Fhigh,High,1,1,5,A,0.2,113,157.07,0.3,169.5,627.15,,157.07,,
Fhigh,High,1,1,5,B,0.2,113,157.07,0.2,113,418.1,,157.07,,
Fhigh,High,1,1,6,A,0.3,169.5,235.605,0.3,169.5,627.15,,235.605,,
Fhigh,High,1,1,6,B,0.2,113,157.07,0.4,226,836.2,,157.07,,
Fhigh,High,1,1,7,A,0.3,169.5,235.605,0.2,113,418.1,,235.605,,
Fhigh,High,1,1,7,B,0.2,113,157.07,0.2,113,418.1,,157.07,,
Fhigh,High,1,1,8,A,0.2,113,157.07,0.2,113,418.1,,157.07,,
Fhigh,High,1,1,8,B,0.2,113,157.07,0.2,113,418.1,,157.07,,
Fhigh,High,1,1,9,A,0.2,113,157.07,0,0,0,,157.07,,
Fhigh,High,1,1,9,B,0.2,113,157.07,0,0,0,,157.07,,
Fhigh,High,1,1,10,A,0.3,169.5,235.605,0,0,0,,235.605,,
Fhigh,High,1,1,10,B,0.1,56.5,78.535,0,0,0,,78.535,,
Fhigh,High,1,1,1,A,0.1,56.5,78.535,0,0,0,,78.535,,
Fhigh,High,1,1,1,B,0.1,56.5,78.535,0,0,0,,78.535,,
Fhigh,High,1,1,2,A,0.15,84.75,117.8025,0,0,0,,117.8025,,
Fhigh,High,1,1,2,B,0.1,56.5,78.535,0,0,0,,78.535,,
Fhigh,High,1,1,3,A,0.1,56.5,78.535,0.3,169.5,627.15,,78.535,,
Fhigh,High,1,1,3,B,0.1,56.5,78.535,0.3,169.5,627.15,,78.535,,
Fhigh,High,1,1,4,A,0.1,56.5,78.535,0.4,226,836.2,,78.535,,
Fhigh,High,1,1,4,B,0.2,113,157.07,0.3,169.5,627.15,,157.07,,
Fhigh,High,1,1,5,A,0.2,113,157.07,0.2,113,418.1,,157.07,,
Fhigh,High,1,1,5,B,0.2,113,157.07,0.4,226,836.2,,157.07,,
Fhigh,High,1,1,6,A,0.1,56.5,78.535,0.2,113,418.1,,78.535,,
Fhigh,High,1,1,6,B,0.2,113,157.07,0.2,113,418.1,,157.07,,
Fhigh,High,1,1,7,A,0.1,56.5,78.535,0,0,0,,78.535,,
Fhigh,High,1,1,7,B,0.05,28.25,39.2675,0,0,0,,39.2675,,
Fhigh,High,1,1,8,A,0.05,28.25,39.2675,0,0,0,,39.2675,,
Fhigh,High,1,1,8,B,0.05,28.25,39.2675,0,0,0,,39.2675,,
Fhigh,High,1,1,9,A,0.05,28.25,39.2675,0,0,0,,39.2675,,
Fhigh,High,1,1,9,B,0.1,56.5,78.535,0,0,0,,78.535,,
Fhigh,High,1,1,10,A,0.1,56.5,78.535,0,0,0,,78.535,,
Fhigh,High,1,1,10,B,0.1,56.5,78.535,0,0,0,,78.535,,
Fhigh,High,1,1,1,A,0.1,56.5,78.535,0,0,0,,78.535,,
Fhigh,High,1,1,1,B,0.1,56.5,78.535,0,0,0,,78.535,,
Fhigh,High,1,1,2,A,0.1,56.5,78.535,0,0,0,,78.535,,
Fhigh,High,1,1,2,B,0.1,56.5,78.535,0,0,0,,78.535,,
Fhigh,High,1,1,3,A,0.2,113,157.07,0,0,0,,157.07,,
Fhigh,High,1,1,3,B,0.1,56.5,78.535,0,0,0,,78.535,,
Fhigh,High,1,1,4,A,0.3,169.5,235.605,0,0,0,,235.605,,
Fhigh,High,1,1,4,B,0.2,113,157.07,0,0,0,,157.07,,
Fhigh,High,1,1,5,A,0.2,113,157.07,0,0,0,,157.07,,
Fhigh,High,1,1,5,B,0.2,113,157.07,0,0,0,,157.07,,
Fhigh,High,1,1,6,A,0.2,113,157.07,0.4,226,836.2,,157.07,,
Fhigh,High,1,1,6,B,0.25,141.25,196.3375,0.4,226,836.2,,196.3375,,
Fhigh,High,1,1,7,A,0.2,113,157.07,0.2,113,418.1,,157.07,,
Fhigh,High,1,1,7,B,0.3,169.5,235.605,0.2,113,418.1,,235.605,,
Fhigh,High,1,1,8,A,0.15,84.75,117.8025,0,0,0,,117.8025,,
Fhigh,High,1,1,8,B,0.2,113,157.07,0.1,56.5,209.05,,157.07,,
Fhigh,High,1,1,9,A,0.2,113,157.07,0,0,0,,157.07,,
Fhigh,High,1,1,9,B,0.1,56.5,78.535,0,0,0,,78.535,,
Fhigh,High,1,1,10,A,0.2,113,157.07,0,0,0,,157.07,,
Fhigh,High,1,1,10,B,0.2,113,157.07,0,0,0,,157.07,total:,7735.6975
Fhigh,High,2,1,1,A,0.1,56.5,78.535,0,0,0,,78.535,,
Fhigh,High,2,1,1,B,0.1,56.5,78.535,0,0,0,,78.535,,
Fhigh,High,2,1,2,A,0.15,84.75,117.8025,0,0,0,,117.8025,,
Fhigh,High,2,1,2,B,0.1,56.5,78.535,0,0,0,,78.535,,
Fhigh,High,2,1,3,A,0.15,84.75,117.8025,0,0,0,,117.8025,,
Fhigh,High,2,1,3,B,0.15,84.75,117.8025,0,0,0,,117.8025,,
Fhigh,High,2,1,4,A,0.1,56.5,78.535,0,0,0,,78.535,,
Fhigh,High,2,1,4,B,0.1,56.5,78.535,0,0,0,,78.535,,
Fhigh,High,2,1,5,A,0.1,56.5,78.535,0,0,0,,78.535,,
Fhigh,High,2,1,5,B,0.05,28.25,39.2675,0,0,0,,39.2675,,
Fhigh,High,2,1,6,A,0,0,0,0,0,0,,0,,
Fhigh,High,2,1,6,B,0.05,28.25,39.2675,0,0,0,,39.2675,,
Fhigh,High,2,1,7,A,0.1,56.5,78.535,0,0,0,,78.535,,
Fhigh,High,2,1,7,B,0.1,56.5,78.535,0,0,0,,78.535,,
Fhigh,High,2,1,8,A,0,0,0,0,0,0,,0,,
Fhigh,High,2,1,8,B,0,0,0,0,0,0,,0,,
Fhigh,High,2,1,9,A,0.05,28.25,39.2675,0,0,0,,39.2675,,
Fhigh,High,2,1,9,B,0.05,28.25,39.2675,0,0,0,,39.2675,,
Fhigh,High,2,1,10,A,0,0,0,0,0,0,,0,,
Fhigh,High,2,1,10,B,0,0,0,0,0,0,,0,,
Fhigh,High,2,1,1,A,0.15,84.75,117.8025,0.3,169.5,627.15,,117.8025,,
Fhigh,High,2,1,1,B,0.2,113,157.07,0.3,169.5,627.15,,157.07,,
Fhigh,High,2,1,2,A,0.1,56.5,78.535,0.4,226,836.2,,78.535,,
Fhigh,High,2,1,2,B,0.2,113,157.07,0.1,56.5,209.05,,157.07,,
Fhigh,High,2,1,3,A,0.1,56.5,78.535,0.4,226,836.2,,78.535,,
Fhigh,High,2,1,3,B,0.1,56.5,78.535,0.4,226,836.2,,78.535,,
Fhigh,High,2,1,4,A,0.1,56.5,78.535,0.3,169.5,627.15,,78.535,,
Fhigh,High,2,1,4,B,0.3,169.5,235.605,0.3,169.5,627.15,,235.605,,
Fhigh,High,2,1,5,A,0.2,113,157.07,0.4,226,836.2,,157.07,,
Fhigh,High,2,1,5,B,0.2,113,157.07,0.3,169.5,627.15,,157.07,,
Fhigh,High,2,1,6,A,0.1,56.5,78.535,0.3,169.5,627.15,,78.535,,
Fhigh,High,2,1,6,B,0.3,169.5,235.605,0.2,113,418.1,,235.605,,
Fhigh,High,2,1,7,A,0.2,113,157.07,0,0,0,,157.07,,
Fhigh,High,2,1,7,B,0.2,113,157.07,0,0,0,,157.07,,
Fhigh,High,2,1,8,A,0.15,84.75,117.8025,0,0,0,,117.8025,,
Fhigh,High,2,1,8,B,0.1,56.5,78.535,0,0,0,,78.535,,
Fhigh,High,2,1,9,A,0.1,56.5,78.535,0,0,0,,78.535,,
Fhigh,High,2,1,9,B,0.1,56.5,78.535,0,0,0,,78.535,,
Fhigh,High,2,1,10,A,0.05,28.25,39.2675,0,0,0,,39.2675,,
Fhigh,High,2,1,10,B,0,0,0,0,0,0,,0,,
Fhigh,High,2,1,1,A,0.1,56.5,78.535,0,0,0,,78.535,,
Fhigh,High,2,1,1,B,0.2,113,157.07,0,0,0,,157.07,,
Fhigh,High,2,1,2,A,0.2,113,157.07,0.4,226,836.2,,157.07,,
Fhigh,High,2,1,2,B,0.1,56.5,78.535,0.4,226,836.2,,78.535,,
Fhigh,High,2,1,3,A,0.2,113,157.07,0.3,169.5,627.15,,157.07,,
Fhigh,High,2,1,3,B,0.1,56.5,78.535,0.35,197.75,731.675,,78.535,,
Fhigh,High,2,1,4,A,0.3,169.5,235.605,0.4,226,836.2,,235.605,,
Fhigh,High,2,1,4,B,0.2,113,157.07,0.4,226,836.2,,157.07,,
Fhigh,High,2,1,5,A,0.2,113,157.07,0.3,169.5,627.15,,157.07,,
Fhigh,High,2,1,5,B,0.4,226,314.14,0.3,169.5,627.15,,314.14,,
Fhigh,High,2,1,6,A,0.2,113,157.07,0.1,56.5,209.05,,157.07,,
Fhigh,High,2,1,6,B,0.1,56.5,78.535,0,0,0,,78.535,,
Fhigh,High,2,1,7,A,0.2,113,157.07,0,0,0,,157.07,,
Fhigh,High,2,1,7,B,0.1,56.5,78.535,0,0,0,,78.535,,
Fhigh,High,2,1,8,A,0.1,56.5,78.535,0,0,0,,78.535,,
Fhigh,High,2,1,8,B,0.1,56.5,78.535,0,0,0,,78.535,,
Fhigh,High,2,1,9,A,0.1,56.5,78.535,0,0,0,,78.535,,
Fhigh,High,2,1,9,B,0.05,28.25,39.2675,0,0,0,,39.2675,,
Fhigh,High,2,1,10,A,0.05,28.25,39.2675,0,0,0,,39.2675,,
Fhigh,High,2,1,10,B,0.05,28.25,39.2675,0,0,0,,39.2675,total:,5850.8575
Fhigh,High,3,1,1,A,0.05,28.25,39.2675,0,0,0,,39.2675,,
Fhigh,High,3,1,1,B,0.05,28.25,39.2675,0,0,0,,39.2675,,
Fhigh,High,3,1,2,A,0.05,28.25,39.2675,0,0,0,,39.2675,,
Fhigh,High,3,1,2,B,0.05,28.25,39.2675,0,0,0,,39.2675,,
Fhigh,High,3,1,3,A,0.05,28.25,39.2675,0,0,0,,39.2675,,
Fhigh,High,3,1,3,B,0.1,56.5,78.535,0,0,0,,78.535,,
Fhigh,High,3,1,4,A,0.1,56.5,78.535,0,0,0,,78.535,,
Fhigh,High,3,1,4,B,0.05,28.25,39.2675,0,0,0,,39.2675,,
Fhigh,High,3,1,5,A,0.2,113,157.07,0.2,113,418.1,,157.07,,
Fhigh,High,3,1,5,B,0.2,113,157.07,0.2,113,418.1,,157.07,,
Fhigh,High,3,1,6,A,0.05,28.25,39.2675,0.2,113,418.1,,39.2675,,
Fhigh,High,3,1,6,B,0.1,56.5,78.535,0,0,0,,78.535,,
Fhigh,High,3,1,7,A,0.05,28.25,39.2675,0,0,0,,39.2675,,
Fhigh,High,3,1,7,B,0.05,28.25,39.2675,0,0,0,,39.2675,,
Fhigh,High,3,1,8,A,0.1,56.5,78.535,0,0,0,,78.535,,
Fhigh,High,3,1,8,B,0.2,113,157.07,0,0,0,,157.07,,
Fhigh,High,3,1,9,A,0.2,113,157.07,0,0,0,,157.07,,
Fhigh,High,3,1,9,B,0.05,28.25,39.2675,0,0,0,,39.2675,,
Fhigh,High,3,1,10,A,0.15,84.75,117.8025,0,0,0,,117.8025,,
Fhigh,High,3,1,10,B,0.1,56.5,78.535,0,0,0,,78.535,,
Fhigh,High,3,1,1,A,0.05,28.25,39.2675,0,0,0,,39.2675,,
Fhigh,High,3,1,1,B,0.05,28.25,39.2675,0,0,0,,39.2675,,
Fhigh,High,3,1,2,A,0.05,28.25,39.2675,0,0,0,,39.2675,,
Fhigh,High,3,1,2,B,0.1,56.5,78.535,0,0,0,,78.535,,
Fhigh,High,3,1,3,A,0.1,56.5,78.535,0,0,0,,78.535,,
Fhigh,High,3,1,3,B,0.05,28.25,39.2675,0,0,0,,39.2675,,
Fhigh,High,3,1,4,A,0.05,28.25,39.2675,0,0,0,,39.2675,,
Fhigh,High,3,1,4,B,0.1,56.5,78.535,0,0,0,,78.535,,
Fhigh,High,3,1,5,A,0.1,56.5,78.535,0.2,113,418.1,,78.535,,
Fhigh,High,3,1,5,B,0.2,113,157.07,0.2,113,418.1,,157.07,,
Fhigh,High,3,1,6,A,0.2,113,157.07,0.3,169.5,627.15,,157.07,,
Fhigh,High,3,1,6,B,0.2,113,157.07,0.3,169.5,627.15,,157.07,,
Fhigh,High,3,1,7,A,0.2,113,157.07,0.3,169.5,627.15,,157.07,,
Fhigh,High,3,1,7,B,0.2,113,157.07,0.3,169.5,627.15,,157.07,,
Fhigh,High,3,1,8,A,0.1,56.5,78.535,0.3,169.5,627.15,,78.535,,
Fhigh,High,3,1,8,B,0.2,113,157.07,0.4,226,836.2,,157.07,,
Fhigh,High,3,1,9,A,0.2,113,157.07,0,0,0,,157.07,,
Fhigh,High,3,1,9,B,0.2,113,157.07,0,0,0,,157.07,,
Fhigh,High,3,1,10,A,0.3,169.5,235.605,0,0,0,,235.605,,
Fhigh,High,3,1,10,B,0.1,56.5,78.535,0,0,0,,78.535,,
Fhigh,High,3,1,1,A,0.05,28.25,39.2675,0,0,0,,39.2675,,
Fhigh,High,3,1,1,B,0.05,28.25,39.2675,0,0,0,,39.2675,,
Fhigh,High,3,1,2,A,0.05,28.25,39.2675,0,0,0,,39.2675,,
Fhigh,High,3,1,2,B,0.05,28.25,39.2675,0,0,0,,39.2675,,
Fhigh,High,3,1,3,A,0.05,28.25,39.2675,0,0,0,,39.2675,,
Fhigh,High,3,1,3,B,0.05,28.25,39.2675,0,0,0,,39.2675,,
Fhigh,High,3,1,4,A,0.1,56.5,78.535,0,0,0,,78.535,,
Fhigh,High,3,1,4,B,0.05,28.25,39.2675,0,0,0,,39.2675,,
Fhigh,High,3,1,5,A,0.2,113,157.07,0.4,226,836.2,,157.07,,
Fhigh,High,3,1,5,B,0.1,56.5,78.535,0.4,226,836.2,,78.535,,
Fhigh,High,3,1,6,A,0.1,56.5,78.535,0.3,169.5,627.15,,78.535,,
Fhigh,High,3,1,6,B,0.1,56.5,78.535,0.2,113,418.1,,78.535,,
Fhigh,High,3,1,7,A,0.2,113,157.07,0.3,169.5,627.15,,157.07,,
Fhigh,High,3,1,7,B,0.15,84.75,117.8025,0.3,169.5,627.15,,117.8025,,
Fhigh,High,3,1,8,A,0.3,169.5,235.605,0.3,169.5,627.15,,235.605,,
Fhigh,High,3,1,8,B,0.1,56.5,78.535,0.2,113,418.1,,78.535,,
Fhigh,High,3,1,9,A,0.2,113,157.07,0,0,0,,157.07,,
Fhigh,High,3,1,9,B,0.1,56.5,78.535,0,0,0,,78.535,,
Fhigh,High,3,1,10,A,0.1,56.5,78.535,0,0,0,,78.535,,
Fhigh,High,3,1,10,B,0.1,56.5,78.535,0,0,0,,78.535,total:,5418.915
Dlow,Low,1,1,1,A,0.1,56.5,78.535,0,0,0,,78.535,,
Dlow,Low,1,1,1,B,0.05,28.25,39.2675,0,0,0,,39.2675,,
Dlow,Low,1,1,2,A,0.05,28.25,39.2675,0,0,0,,39.2675,,
Dlow,Low,1,1,2,B,0.05,28.25,39.2675,0,0,0,,39.2675,,
Dlow,Low,1,1,3,A,0.1,56.5,78.535,0,0,0,,78.535,,
Dlow,Low,1,1,3,B,0.05,28.25,39.2675,0,0,0,,39.2675,,
Dlow,Low,1,1,4,A,0.1,56.5,78.535,0,0,0,,78.535,,
Dlow,Low,1,1,4,B,0.05,28.25,39.2675,0,0,0,,39.2675,,
Dlow,Low,1,1,5,A,0.05,28.25,39.2675,0,0,0,,39.2675,,
